,Unnamed: 0,Gender,Attendance (%),Midterm_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Study_Hours_per_Week,Extracurricular_Activities,Stress_Level (1-10),Sleep_Hours_per_Night,Grade
39,39,Female,98.89,59.92,89.57,85.03,19.4,83.65,28.9,No,8,4.7,C
40,40,Male,89.53,93.05,66.66,52.16,84.1,91.5,26.2,Yes,4,6,C
41,41,Male,74.51,87.26,59.03,68.7,68,98.97,9.1,Yes,8,4.6,B
42,42,Male,54.33,77.55,63.98,67.31,45.1,56.61,18.6,No,2,4,C
43,43,Male,79.62,60.28,66.63,62.24,82.6,57.8,17.3,Yes,8,7.1,D
44,44,Male,87.94,82.04,77.85,82.71,71.7,52.12,16.1,No,8,6.4,C
45,45,Male,59.54,90.62,52.32,64.5,91.4,63.02,16.8,Yes,10,6.1,D
46,46,Male,78.41,75.69,95.72,80.34,7.7,91.05,21.1,Yes,3,4.4,C
47,47,Female,90.71,87.07,54.93,75.22,50.9,59.91,29.2,No,2,6.9,D
48,48,Male,88.41,84.95,63.96,60.86,70.7,77.39,26.9,No,7,7.9,C
49,49,Male,90.15,74.3,55.46,63.33,20.7,72.32,26.9,No,9,4.3,D
50,50,Female,93.97,58.73,62.83,58.53,32.7,66.29,22.6,Yes,10,6.1,D
51,51,Female,96.88,84.75,91.88,52.83,41.9,80.92,5.4,No,1,5.6,C
52,52,Female,70.28,52.41,80.76,80.96,79.4,75.12,16,Yes,5,8.5,C
53,53,Female,78.44,86.77,61.37,83.64,49.4,66.74,17.8,No,3,5.3,D
54,54,Male,89.53,88.27,93.59,58.3,49.3,84.44,26.1,Yes,9,8.7,C
55,55,Female,84.86,89.33,90.04,80.77,43.1,64,28.1,No,8,8.1,C
56,56,Female,99.78,68.37,87.68,99.1,22.9,82.16,16.3,No,9,4.5,C
57,57,Male,50.68,51.55,92.38,53.72,92.3,97.86,12.5,Yes,9,6.4,C
58,58,Male,67.76,45.98,80.98,74.52,31.8,86.45,13.4,No,10,7.2,C
59,59,Male,64.05,84.6,75.07,86.65,56.7,70.92,19.5,No,3,7,C
60,60,Female,63.12,93.18,68.7,52.3,14.9,87.38,11.9,Yes,7,7.4,D
61,61,Male,61.13,79.05,61.19,88.91,43.4,90.46,27.8,Yes,5,6.1,B
62,62,Female,85.46,48.65,77.87,98.98,90.4,66.29,15.5,Yes,6,8.5,C
63,63,Male,54.24,96.09,94.47,54.42,99.5,85.26,29.8,Yes,8,5.4,B
64,64,Male,87.08,99.35,79.7,91.11,36.2,71.72,7.7,No,10,4.5,C
65,65,Female,84.67,66,95.98,68.93,15.4,90.93,9.7,No,8,8.9,C
66,66,Male,62.54,75.69,67.85,57.21,31.4,64.77,17.8,Yes,7,7.3,D
67,67,Male,62.64,86.63,84.76,74.66,32.7,96.89,26.7,Yes,1,7.3,B
68,68,Male,81.44,84.18,82.43,53.58,64.5,78.74,13.8,Yes,1,8.1,C
69,69,Male,88.11,98.07,83.52,76.11,49.6,67.67,25.9,No,6,6.1,C
70,70,Male,93.82,46.89,82.25,50.97,76.8,70.97,15.6,No,9,5.9,D
71,71,Female,92.61,74.84,61.08,86.43,70.1,67.39,26.3,Yes,8,8.7,C
72,72,Female,98.24,81.52,57.18,74.4,25.1,57.31,11.9,No,1,5.9,D
73,73,Male,79.07,93.41,98.93,72.95,78.4,53.42,16.8,Yes,8,4.4,C
74,74,Female,95.43,92.45,52.26,59.81,84.7,66.09,12,No,5,5.5,C
75,75,Female,90.43,98.68,73.39,68.06,59.8,72.93,10.4,No,2,8.4,C
76,76,Female,94.73,70.72,71.25,59.09,92.8,68.09,15.5,No,7,4.5,D
77,77,Male,50.58,89.85,68,86.77,78.3,50.7,13.4,Yes,2,7.6,D
78,78,Male,98.3,65.64,89.1,59.95,59.5,78.95,24.7,Yes,4,5.3,C
79,79,Male,73.68,65.34,87.27,80.84,90.6,57.24,23.7,Yes,4,7.7,C
80,80,Female,89.91,55.2,95.26,63.98,60,60.55,14,No,5,6.6,D
81,81,Female,56.36,89.09,69.77,82.85,52.1,56.04,29.8,No,6,7.2,C
82,82,Male,69.8,99.15,78.21,77.02,35.6,76.02,29.3,Yes,2,5.2,C
83,83,Male,63.57,55.38,94.62,71.17,88.3,54.76,27.9,Yes,8,4.8,D
84,84,Female,64.58,43.37,99.69,83.65,12.3,62.82,19.7,Yes,9,4.3,D
85,85,Female,56.16,88.93,98.46,70.79,47.4,72.59,15.3,No,3,8.1,C
86,86,Male,90.29,77.21,85.89,91.07,53.7,58.39,12.8,No,7,7.6,D
87,87,Female,50.46,97.58,57.16,86.48,55.5,72.31,5.4,No,4,5.5,C
88,88,Female,65.63,55.13,51.16,77.03,65.2,67.14,20.8,No,10,8.2,D
89,89,Female,58.72,44.26,91.26,93.85,50.6,93.03,18.8,Yes,4,8.2,B
90,90,Female,79.45,69.55,92.05,91.44,25.7,89.75,20.7,No,1,4.7,C
91,91,Female,62.71,45.13,87.32,76.59,85.7,99.64,19.4,Yes,5,7.6,B
92,92,Female,62.95,55.71,64,53.42,65.8,76.45,8.4,No,6,5.5,D
93,93,Female,74.42,47.56,81.99,78.3,85.8,78.77,22.4,Yes,5,6.3,D
94,94,Male,82.63,53.45,65.81,67.76,27.6,97.33,14,Yes,6,6.2,C
95,95,Male,56.07,46.37,72.53,77.01,63.7,69.98,17.9,No,3,7,C
96,96,Female,58.78,97.23,69.12,82.36,71.4,77.78,14.1,No,2,5.7,C
97,97,Female,62.36,56.71,95.68,82.24,38.3,68.95,5.5,No,5,4.4,C
98,98,Female,98.69,66.63,61.71,83.68,81.2,77.29,26.9,No,6,7.4,C
99,99,Male,69.86,93.92,78.88,83.96,0.3,54.04,8.7,Yes,10,8.8,C
100,100,Male,79.95,80.64,68.05,55.46,59.5,89.19,19.6,No,6,7.3,D
101,101,Female,62.08,77.08,83.15,59.59,61.4,99.26,27.1,No,5,6.7,B
102,102,Male,74.52,82.33,78.23,81.53,53.4,53.29,10.5,No,2,4.8,C
103,103,Female,53.71,89.73,96.2,70.41,63,90.05,15.3,No,1,7.1,B
104,104,Female,51.74,92.66,55.08,88.14,16.7,62.09,14.4,No,10,7.1,C
105,105,Female,73.44,78.56,61.03,56.25,68.5,59.88,7.2,No,6,7.1,C
106,106,Female,69.93,93.4,88.32,59.58,33.6,84.67,15.6,Yes,1,8.5,C
107,107,Female,56.84,72.12,68.44,77.92,45.2,52.21,17,Yes,1,7.6,F
108,108,Female,84.38,56.64,58.29,75.04,33.3,73.16,5.7,Yes,6,7.9,D
109,109,Female,99.65,92.8,75.17,63.32,47.4,50.07,17.2,No,1,5.6,F
110,110,Male,69.78,72.49,82.61,70.42,62.2,77.72,7.3,Yes,2,5.4,C
111,111,Female,81.23,94.37,52.24,51.75,83.8,73.1,27.3,No,1,5,C
112,112,Male,98.15,42.41,64.58,51.85,48.3,95.77,21.3,Yes,7,7.9,D
113,113,Female,91.58,63.85,90.47,54.75,32.3,86.01,6.4,Yes,4,7.5,C
114,114,Female,73.18,96.87,76.01,78.84,48.8,56.3,25.7,No,4,5.7,C
115,115,Male,86.87,54.98,51.77,93.19,68.9,67.73,14,Yes,4,4.7,D
116,116,Male,56.41,96.49,64.1,63.01,34.7,96.58,10.6,No,5,8.2,B
117,117,Female,75.61,97.23,81.96,51.7,41.4,86.27,11.3,No,9,5.9,C
118,118,Male,63.95,92.93,59.97,85.43,56.3,79.71,19.9,Yes,5,4.9,B
119,119,Female,58.06,73.82,91.37,92.77,29.4,77.95,7,Yes,10,4.7,B
120,120,Female,71.31,78.82,83.83,56.91,20.9,69.9,6.5,Yes,2,8.6,D
121,121,Male,56.55,92.18,73.57,69.29,14,79.26,20.7,Yes,8,4.7,C
122,122,Male,84.95,86.55,95.78,57.94,35.3,88.58,29.5,Yes,8,5.8,C
123,123,Male,72.81,77.81,69.59,55.32,4.8,56.38,17.1,No,9,7.2,D
124,124,Male,76.56,98.94,61.75,82.41,58.3,98.49,15.3,Yes,4,6,B
125,125,Female,57.32,81.14,83.07,98.38,17.6,61.97,28.7,No,3,6.4,D
126,126,Male,56.99,98.53,78.66,83.91,37.7,72.39,11,No,10,8,C
127,127,Male,79.17,43.44,66.76,99.24,26.9,51.14,11,No,6,9,F
128,128,Male,99.25,48.34,67.18,71.72,63,77.52,27.6,Yes,1,6.3,D
129,129,Male,54.81,67.09,69.91,94.89,85,69.09,21.2,Yes,6,5.9,C
130,130,Male,64.29,63.09,64.56,60.25,63.3,62.49,6.3,Yes,5,6,F
131,131,Female,93.47,86.96,85.51,55.9,54.3,99.28,21.8,No,1,5.8,B
132,132,Female,53.61,49.64,82.57,85.13,66.9,71.41,25.5,Yes,6,6.4,C
133,133,Male,93.79,98.57,72.04,68.57,3,70.71,11.8,Yes,3,5.7,C
134,134,Male,76.21,58.9,69.89,65.88,12.3,73.16,14.6,Yes,8,6.3,D
135,135,Female,70.41,65.74,68.25,83.56,9.5,55.81,9.9,No,3,8.7,F
136,136,Male,65.48,56.48,64.17,66.67,9.8,69.65,20.8,No,3,5.4,F
137,137,Female,64.86,74.76,54.28,78.63,26,66.82,21.6,Yes,7,7.3,D
138,138,Female,65.29,43.52,63.41,64.97,53.2,73.26,6.7,Yes,1,6.4,D
139,139,Male,94.24,48.98,66.06,89.19,11.5,92.83,21.9,Yes,10,7.7,D
140,140,Female,86.19,84.75,77.38,65.62,93.5,59.64,21.5,No,10,6.4,C
141,141,Male,83.49,51.19,88.69,76.75,85.4,80.39,5.9,Yes,8,4.8,C
142,142,Male,89.94,54.13,69.79,51.16,97.2,51.88,18.9,No,4,8.4,F
143,143,Female,62.86,87.58,97.24,89.59,4.3,65.84,20.3,No,5,7.4,C
144,144,Female,80.9,45.6,91.37,81.02,85.1,73.63,15.8,No,5,6.6,D
145,145,Male,73,66.25,99.24,59.61,80.4,53.71,27.5,No,4,8.2,D
146,146,Female,89.12,41.38,93.81,60.77,90.2,77.2,13.2,No,1,8.9,D
147,147,Male,65.46,60.81,80.84,63.12,52.8,65.52,6.7,No,3,6,C
148,148,Female,82.16,81.94,79.92,78.83,78.8,99.64,21.8,Yes,8,5.8,B
149,149,Female,94.11,45.41,56.48,77.42,5.1,81.55,20.1,No,2,7.8,D
150,150,Male,70.11,93.3,86.12,63.69,7.6,62.21,29.7,No,8,6.3,C
151,151,Male,53.33,94.57,80.01,84.7,11.9,55.13,10.8,No,4,4.4,C
152,152,Male,75.8,46.3,75.35,94.45,91.5,52.04,14.9,Yes,9,5.8,D
153,153,Female,67.3,99.44,84.66,52.18,6.1,54.54,16.5,No,8,8,C
154,154,Male,83.61,57.85,72.2,70.86,10,84,26.5,No,8,7.5,C
155,155,Male,97.55,45.05,76.19,79.68,93,92.75,15.4,No,4,8.3,C
156,156,Female,74.28,40.3,69.92,79.32,10.7,57.84,24.3,No,2,4.7,D
157,157,Female,73.31,64.51,85.87,50.98,87,70.11,8.9,Yes,8,5.2,C
158,158,Male,82.73,77.79,93.83,60.53,78.9,67.71,15.2,No,7,5.1,C
159,159,Male,55.17,59.93,92.04,53.09,4,82.23,8.9,No,2,8.9,C
160,160,Male,62.68,90.2,89.3,78.45,2.2,59.13,28.7,No,7,4.8,D
161,161,Male,95.95,83,50.69,82.27,53.4,97.67,9.4,Yes,1,7,B
162,162,Female,83.5,61.01,95.59,57.99,99.7,86.43,15.5,Yes,6,7.2,C
163,163,Female,50.67,84.06,63.74,66.65,87.9,97.75,7.1,No,7,7.1,C
164,164,Male,60.23,96.43,94.4,66.49,31,63.87,28,Yes,2,7.5,C
165,165,Male,84.14,45.59,59.85,90.99,38.6,79.39,20.6,Yes,2,6.4,D
166,166,Male,88.22,58.37,71.98,59.73,38.8,86.61,29.1,No,8,4.4,C
167,167,Female,91.99,67.8,87.47,77.42,73.4,85.55,6.1,No,2,7.5,C
168,168,Male,64.61,69.88,82.01,89.15,34.1,51.07,9.4,No,10,5.4,D
169,169,Male,96.55,72.53,70.8,91.48,14.8,99.91,14.5,Yes,2,4.4,C
170,170,Female,77.65,58.04,83.93,83.33,74.7,96.4,20.5,Yes,5,4.8,C
171,171,Female,84.83,80.04,77.45,64.98,45.8,55.99,13.2,Yes,4,5.4,D
172,172,Male,79.84,78.71,63.79,91.15,7.7,77.18,22.8,Yes,1,6.2,C
173,173,Male,56.14,74.67,82.32,87.11,79,65.73,9.1,No,8,8.3,C
174,174,Female,98.16,46.83,60.21,85.22,58.5,93.94,20,No,4,6.7,C
175,175,Male,56.14,68.62,84.7,53.37,48.9,84.88,14.9,Yes,9,6.4,B
176,176,Male,62.74,61.37,50.16,52.16,67.3,61.18,17.7,No,2,5,D
177,177,Female,90.68,69.46,77.44,84.77,50.5,51.69,19.2,No,2,8.8,C
178,178,Female,80.93,95.31,70.05,97.24,64.8,64.59,6.5,No,6,8.5,D
179,179,Female,91.91,68.83,65.16,88.69,86.7,51.91,28.1,Yes,2,8.1,F
180,180,Male,75.79,40.84,75.79,91.57,61.4,57.07,24.7,No,2,5.6,D
181,181,Female,68.85,66.33,82.27,77.25,66,81.81,16.1,No,6,6.8,D
182,182,Female,96.09,89.24,98.27,65.23,61.4,87.25,18.7,Yes,6,5.9,B
183,183,Male,51.81,86.8,91.65,83.89,53.1,73.4,5.8,No,8,6,C
184,184,Male,92.81,70.8,85.86,85.6,17.2,80.01,17.4,No,10,4.4,C
185,185,Female,61.54,54.99,73.95,83.77,33.6,57.79,15.7,Yes,1,4.7,D
186,186,Female,92.44,67.91,69.61,97.34,69.3,65.84,14.4,No,1,8.8,C
187,187,Male,56.96,73.82,51.63,68.36,42.5,85.64,25.4,No,7,7.1,C
188,188,Male,79.01,99.99,67.95,51.98,40.6,68.24,9.5,Yes,9,4,D
189,189,Female,94.41,78.65,92.42,95.42,75.9,67.44,9.4,No,7,8,C
190,190,Female,73.68,81.66,69.2,58.02,0.6,59.7,18,No,4,4.4,D
191,191,Male,87.33,69.49,73.08,84.87,67.9,79.74,22.2,Yes,9,7.5,D
192,192,Female,90.23,61.27,63.59,93.66,48.9,90.48,5.6,Yes,6,7.1,C
193,193,Male,86.82,88.78,63.71,65.51,37.7,73.47,18.6,Yes,10,4.3,C
194,194,Female,96.27,69.7,53.09,91.52,34.1,55.78,12.5,Yes,1,6.7,F
195,195,Male,72.34,99.68,80.69,66.6,17.3,91.92,23.9,Yes,6,4.2,B
196,196,Male,58.66,67.43,72.4,89.71,33.4,53.57,16.7,Yes,10,4.3,D
197,197,Female,52.39,44.08,80.3,53.49,39.1,73.59,25.9,Yes,6,4.3,F
198,198,Female,62.32,80.95,77.34,82.76,43.7,63.05,14.9,Yes,1,5.3,D
199,199,Male,57.16,42.8,89.94,83.86,67.2,96.82,25.7,No,8,8,B
200,200,Female,77.9,55.03,87.55,74.57,45.4,86.88,22.9,Yes,5,5.8,C
201,201,Female,59.25,61.22,88.57,84.35,79.6,78.32,25.7,Yes,4,7.2,C
202,202,Female,51.95,84.37,74.96,96.16,64,83.39,25.3,No,10,4.6,C
203,203,Male,51.8,69.65,67.69,86.69,19,76.64,17.2,Yes,1,8.7,D
204,204,Female,91.58,41.72,96.67,98.06,27.7,57.38,14.2,Yes,5,6.5,D
205,205,Female,79.57,77.01,52.71,72.43,7.9,85.45,24.1,Yes,1,4.1,C
206,206,Male,67.9,64.69,57.63,76.41,94.6,74.63,14,Yes,3,6.7,D
207,207,Female,94.71,95.31,70.98,63.19,88.7,81.72,7.2,No,10,4.9,C
208,208,Female,53.51,69.97,80.7,99.28,8.5,52.26,26.5,Yes,1,5,F
209,209,Male,99.02,82.54,50.41,52.76,57.4,57.1,14.9,Yes,10,7,D
210,210,Male,80.81,53.13,85.97,67.93,96,79.47,8.3,Yes,3,5.1,D
211,211,Female,59.17,85.66,77.94,64.88,74.7,72.97,21.2,Yes,2,5.1,C
212,212,Female,83.95,83.26,74.24,69.33,49.2,61.34,27.2,No,4,6.7,C
213,213,Male,88.17,94.24,71.17,95.89,24.1,62.04,26.5,Yes,7,5.2,C
214,214,Male,71.47,42.03,75.97,68.4,27.9,81.58,18.9,No,1,4.6,D
215,215,Female,93.08,66.85,58.09,95.85,73.6,52.95,7.2,Yes,7,6,D
216,216,Female,57.54,80.75,55.44,71.17,78.1,71.71,22.4,No,6,4.3,C
217,217,Female,63.94,45.71,64.48,92.74,52.9,76.16,20.2,Yes,4,8.5,C
218,218,Male,54.67,64.64,85.48,76.09,12.1,65.41,10.3,Yes,9,6.3,D
219,219,Female,60.54,96.53,79.41,65.57,93.4,91.03,27.5,No,7,4.1,C
220,220,Male,61.94,66.16,74.01,72.47,84.5,52.84,7.2,Yes,10,5.1,F
221,221,Male,95.88,99.12,78.58,71.22,14.1,93.29,14.3,Yes,10,8.8,B
222,222,Male,53.91,43.41,77.96,63,5.7,86.16,7.4,No,5,6.5,D
223,223,Female,71.37,83.07,65.35,64.48,53.6,72.31,27.8,Yes,2,5.8,C
224,224,Female,76.62,74.86,54.87,59.32,28.4,96.22,5.9,Yes,1,5.6,C
225,225,Female,94.93,70.03,94.84,66.8,28.3,85.11,15.6,Yes,2,6.1,B
226,226,Male,99.88,98.25,80,81.22,8.7,96.55,26.5,No,9,5.1,B
227,227,Female,87.67,47.78,84.89,69.33,95.3,73.63,11.3,No,2,7.7,C
228,228,Male,98.54,93.76,73.2,85.62,83,72.65,7.6,Yes,5,6.5,C
229,229,Male,89.36,81.47,87.82,99.35,11.4,76.54,8.2,No,8,7.8,C
230,230,Male,98.16,55.54,79.22,68.86,87.7,53.27,15.1,No,8,5.3,D
231,231,Male,85.36,94.1,52.69,73.13,68.3,95.42,15.7,No,9,4,C
232,232,Male,53.99,65.76,94.5,58.21,32.5,83.39,23,No,4,8.8,C
233,233,Male,70.1,88.85,65.28,69.61,87.1,80.88,10.9,Yes,10,6.6,C
234,234,Female,82.33,63.33,56.89,86.34,59.8,96.32,22.5,Yes,7,4.4,C
235,235,Male,67.54,91.06,54.4,60.87,84.9,99.68,30,No,9,4.5,C
236,236,Female,63.67,78.2,86.02,59.1,46.9,58.17,26.6,No,7,6.2,D
237,237,Male,78.87,48.46,85.2,68.82,50.1,87.45,20.9,Yes,1,7.5,D
238,238,Female,96.68,78.98,85.01,90.93,29.1,79,28.5,No,6,6,C
239,239,Female,51.75,51.48,95.79,81.18,38.8,73.05,29.8,Yes,2,8.1,D
240,240,Female,88.46,64.72,67.45,97.88,56.8,98.88,19.3,Yes,7,5.6,B
241,241,Female,86.14,50.22,78.06,95.23,94.7,92.51,11.8,Yes,9,4.2,C
242,242,Male,98.2,41.32,80.97,57.56,60,84.84,27.9,Yes,7,4,D
243,243,Male,96.54,52.71,98.97,52.13,14.7,69.13,26.1,Yes,8,8.3,D
244,244,Male,88.11,72.18,65.62,69.95,0.7,83.3,7.1,Yes,2,8.9,C
245,245,Male,76.02,68.89,97.82,76.1,85.1,76.58,28.4,Yes,10,4.7,C
246,246,Female,60.21,70.09,57.44,75.78,36.4,62.47,14.2,Yes,5,4.3,C
247,247,Female,77.26,54.86,88.2,56.71,31.5,72.52,13.1,No,10,8.6,D
248,248,Female,88.27,81.11,81.64,56.24,80.1,60.61,13.6,Yes,1,4.5,D
249,249,Male,94.78,82.26,90.84,52.34,94.5,75.02,13,No,3,5.1,C
250,250,Female,89.49,61.48,51.43,92.54,74.8,86.01,17.9,No,1,8,D
251,251,Male,59.76,92.87,53.91,97.39,17.4,51.83,19.5,No,2,9,C
252,252,Female,79.98,78.64,53.48,55.78,39.1,88.27,15.6,No,4,6.4,D
253,253,Female,66.61,82.78,79.65,60.66,75.9,51,15.3,No,6,5.1,C
254,254,Female,50.46,56.64,80.15,54.49,90.7,75.86,23.4,Yes,1,8.2,C
255,255,Female,60.01,40.04,95.31,93.88,99.9,78.67,5.1,Yes,9,6,B
256,256,Female,55.66,91.92,73.38,97.94,51.2,88.06,28.7,Yes,1,5.4,C
257,257,Male,92.14,89.35,53.4,63.09,82.3,88.05,22.9,No,8,6.5,C
258,258,Female,62.93,47.39,60.48,65.18,4.7,70.87,22.7,Yes,1,8.3,D
259,259,Male,64.23,62.45,50.4,68.13,28.6,53.32,15.5,No,1,5.2,D
260,260,Male,98,79.68,88.84,75.12,37.2,84.68,29.1,Yes,8,6.1,C
261,261,Male,68.95,79.13,90.78,84.12,97.6,75.55,5,No,2,6.2,C
262,262,Male,50.48,91.62,99.9,75.22,0.3,66.65,6.9,No,1,8.2,C
263,263,Male,64.19,48.42,70.61,97.55,30.8,61.74,25.1,No,7,7.4,D
264,264,Male,55.96,65.8,50.96,54.99,93,55.99,23.5,Yes,1,7.9,F
265,265,Male,55.14,45.83,61.74,89.93,30.7,64.76,11.8,No,4,7.5,D
266,266,Male,53.87,63.38,79.39,66.72,22.5,72.92,19.9,Yes,10,7,D
267,267,Female,79.66,40.91,98.1,68.88,73,73.88,18.3,Yes,10,4.7,D
268,268,Female,59.47,93.9,55.18,85.44,74.5,79.14,18.2,No,9,8.2,C
269,269,Male,68.06,71.62,56.08,96.47,47.2,68.12,19.9,No,10,7,C
270,270,Male,93.1,90.99,85.09,85.81,94.7,95.99,29.8,Yes,3,7.5,B
271,271,Male,71.22,43.59,83.36,88.79,20.3,74.79,29.7,No,6,7.9,C
272,272,Female,95.78,53.65,62.53,87.54,91.3,71.19,29.5,Yes,10,5.6,D
273,273,Female,74.9,55.56,90.66,66.05,75.6,52.41,18.7,Yes,9,6.2,D
274,274,Male,69.94,63.2,56.44,87.85,36.8,79.95,13,Yes,4,6.7,D
275,275,Male,87.52,88.17,96.29,89.23,80.7,80.14,19,Yes,3,5.7,B
276,276,Female,53.66,63.19,60.05,76.67,13.3,79.16,20.6,No,5,5.3,C
277,277,Female,54.47,52.28,54.07,76.84,13.1,94.38,12.8,No,7,7.9,D
278,278,Male,82.6,43.9,66.98,87.99,93,88.15,20.8,Yes,5,7.8,D
279,279,Male,74.35,44.77,59.39,90.85,9.5,93.37,20.5,No,4,8.2,C
280,280,Male,89.52,85.6,76.35,66.86,0.4,52.97,27.6,No,1,7.5,C
281,281,Male,95.81,66.69,84.34,90.08,38.9,65.91,10.9,No,6,5.6,D
282,282,Female,69.42,83.57,74.55,90.71,10.4,65.94,22.4,Yes,4,5.6,C
283,283,Female,79.82,80.94,83.03,61.71,86.3,82.85,16.3,Yes,6,6.6,C
284,284,Male,75.03,48.12,68.25,85.85,92.3,72.43,8.2,Yes,6,8.2,D
285,285,Male,99.08,48.57,51.4,59.33,48.2,88.87,12.9,Yes,4,5.7,D
286,286,Male,91.55,85.32,98.7,54.65,42.5,69.22,6.4,No,8,7.8,C
287,287,Female,95.59,83.28,90.97,78.73,53.9,61.08,13,Yes,4,5.5,C
288,288,Male,62.72,62.68,53.67,95.43,22.6,64.55,6.7,Yes,5,5.7,F
289,289,Male,88.63,44.65,72.46,51.77,29.8,59.12,28.1,No,5,7.8,D
290,290,Male,63.27,40.73,81.75,91.33,10.1,59.89,7.5,Yes,2,7.4,D
291,291,Female,60.44,57.29,59.53,75.32,44.6,60.84,25.4,Yes,8,5,F
292,292,Male,97.21,40.55,78.9,93.04,61.2,50.8,27.7,Yes,8,8.1,F
293,293,Female,50.97,53.8,76.68,92.17,93,85.8,16.7,Yes,10,7.9,B
294,294,Male,98.27,65.17,60.41,93.76,73.9,69.98,6.3,Yes,8,8,D
295,295,Male,57.46,47.28,57.06,88.44,72.3,51.13,19.9,No,1,6.4,F
296,296,Male,90.97,46.26,87.95,92.15,30.8,68.5,10.9,No,7,5.6,D
297,297,Female,63.8,93.79,66.13,58.8,88.8,95.27,9.4,Yes,3,8.2,C
298,298,Male,67.54,75.13,62.2,65.19,94.7,75.56,19.2,No,1,6.9,C
299,299,Male,60.84,96.07,86.89,62.12,93.2,99.34,13.9,No,5,8.7,B
300,300,Female,79.28,60.75,86.8,87.12,3.9,77,23.3,No,4,5.3,C
301,301,Female,67.4,80.63,63.82,57.68,60.4,98.14,19.8,Yes,7,8.9,C
302,302,Female,82.87,52.28,93.63,59.11,64.3,60.09,25.7,No,1,5.9,C
